City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
230,nyandoma,61.669,40.1991,-0.49,100,84,2.04,RU,2023-11-25
231,tocopilla,-22.092,-70.1979,70.52,66,18,8.52,CL,2023-11-25
232,barabinsk,55.3571,78.357,16.18,94,36,6.38,RU,2023-11-25
233,bam,29.106,58.357,59.18,39,3,1.16,IR,2023-11-25
234,maua,-23.6678,-46.4614,64.36,93,100,7.49,BR,2023-11-25
235,felege neway,6.3,36.8833,69.85,69,6,3.18,ET,2023-11-25
236,sao gabriel da cachoeira,-0.1303,-67.0892,78.6,89,75,4.61,BR,2023-11-25
237,dryden,49.7833,-92.7503,25.09,54,100,12.66,CA,2023-11-25
238,multai,21.7667,78.25,64.45,47,0,6.69,IN,2023-11-25
239,lodja,-3.4833,23.4333,70.61,89,69,2.55,CD,2023-11-25
240,padang,-0.9492,100.3543,77.05,85,100,3.44,ID,2023-11-25
241,prieska,-29.6641,22.7474,86.41,12,18,11.52,ZA,2023-11-25
242,al ghayzah,16.2079,52.176,79.81,61,91,7.16,YE,2023-11-25
243,holualoa,19.6228,-155.9522,75.04,84,0,3.44,US,2023-11-25
244,l'isle-jourdain,43.6144,1.0817,42.39,65,71,3.65,FR,2023-11-25
245,tuba city,36.135,-111.2399,42.39,52,1,5.01,US,2023-11-25
246,remire-montjoly,4.9167,-52.2667,87.84,70,75,12.66,GF,2023-11-25
247,ghanzi,-21.5667,21.7833,73.13,69,76,19.22,BW,2023-11-25
248,north bend,43.4065,-124.2243,43.16,70,0,5.75,US,2023-11-25
249,coquimbo,-29.9533,-71.3436,62.33,77,40,13.8,CL,2023-11-25
250,happy valley-goose bay,53.3168,-60.3315,17.91,67,20,28.77,CA,2023-11-25
251,tsetserleg,47.475,101.4542,19.08,74,100,7.31,MN,2023-11-25
252,greymouth,-42.4667,171.2,45.28,79,0,5.14,NZ,2023-11-25
253,palikir - national government center,6.9248,158.1611,77.74,94,100,4.61,FM,2023-11-25
254,kyzyl-mazhalyk,51.1333,90.6,11.91,94,86,3.0,RU,2023-11-25
255,vallenar,-28.5708,-70.7581,85.98,19,0,10.87,CL,2023-11-25
256,vostochnyy,55.8167,37.8667,22.93,98,54,2.64,RU,2023-11-25
257,puerto armuelles,8.2833,-82.8667,85.98,82,95,7.0,PA,2023-11-25
258,tucupita,9.0622,-62.051,81.16,87,77,6.11,VE,2023-11-25
259,walvis bay,-22.9575,14.5053,62.1,78,21,12.93,,2023-11-25
260,sisimiut,66.9395,-53.6735,33.96,91,98,7.58,GL,2023-11-25
261,ciudad constitucion,25.0369,-111.6644,73.11,45,71,5.68,MX,2023-11-25
262,namsos,64.4662,11.4957,21.25,85,23,18.41,NO,2023-11-25
263,villa gesell,-37.2639,-56.973,76.01,44,91,15.3,AR,2023-11-25
264,guajara mirim,-10.7828,-65.3394,80.76,78,40,6.91,BR,2023-11-25
265,pisco,-13.7,-76.2167,71.65,68,0,8.05,PE,2023-11-25
266,gubbio,43.3545,12.5725,40.77,43,17,8.01,IT,2023-11-25
267,lauro de freitas,-12.8944,-38.3272,84.22,65,20,10.36,BR,2023-11-25
268,gadzhiyevo,69.2551,33.3362,22.55,91,100,5.3,RU,2023-11-25
269,udachny,66.4167,112.4,-10.3,98,100,5.3,RU,2023-11-25
270,zajecar,43.9036,22.2641,39.56,96,100,7.4,RS,2023-11-25
271,malchow,53.4748,12.4221,34.84,86,53,7.7,DE,2023-11-25
272,puerto san jose,13.9256,-90.8244,84.78,69,98,5.19,GT,2023-11-25
273,shenjiamen,29.9576,122.298,56.89,70,45,6.85,CN,2023-11-25
274,nogliki,51.8333,143.1667,1.35,67,6,21.0,RU,2023-11-25
275,chonchi,-42.6128,-73.8092,58.21,51,72,1.59,CL,2023-11-25
276,midvagur,62.0511,-7.1939,40.03,93,100,1.14,FO,2023-11-25
277,sao joao da barra,-21.6403,-41.0511,77.09,66,95,15.19,BR,2023-11-25
278,cole harbour,44.6724,-63.4751,29.71,49,27,13.8,CA,2023-11-25
279,teknaf,20.8624,92.3058,70.21,79,10,4.56,BD,2023-11-25
280,salalah,17.0151,54.0924,78.89,61,0,4.61,OM,2023-11-25
281,tazacorte,28.629,-17.9293,70.77,73,75,9.22,ES,2023-11-25
282,la foa,-21.7108,165.8276,70.16,76,84,3.65,NC,2023-11-25
283,owen sound,44.5672,-80.9435,37.33,72,96,15.01,CA,2023-11-25
284,guelendeng,10.9176,15.5501,88.95,21,99,4.14,TD,2023-11-25
285,chak azam sahu,30.75,73.0333,66.85,27,100,3.27,PK,2023-11-25
286,shenkursk,62.1091,42.896,8.13,98,98,1.68,RU,2023-11-25
287,carnarvon,-24.8667,113.6333,69.85,78,1,12.37,AU,2023-11-25
288,nguigmi,14.2495,13.1092,82.71,30,41,7.83,NE,2023-11-25
289,ola,59.5833,151.2833,-0.42,77,100,12.24,RU,2023-11-25
290,mana,5.6592,-53.7767,84.76,69,44,11.68,GF,2023-11-25
291,guerrero negro,27.9769,-114.0611,67.69,54,85,8.34,MX,2023-11-25
292,man,7.4125,-7.5538,78.22,78,96,2.33,CI,2023-11-25
293,svobodnyy,51.4,128.1333,-2.74,77,3,7.27,RU,2023-11-25
294,hawera,-39.5917,174.2833,54.23,77,99,13.94,NZ,2023-11-25
295,rio grande,-32.035,-52.0986,75.31,62,82,9.86,BR,2023-11-25
296,port blair,11.6667,92.75,82.44,74,40,6.91,IN,2023-11-25
297,tagta,41.6504,59.9164,46.35,66,0,13.8,TM,2023-11-25
298,broken hill,-31.95,141.4333,61.63,69,0,11.68,AU,2023-11-25
299,totness,5.8833,-56.3167,83.25,73,51,12.44,SR,2023-11-25
300,batticaloa,7.7102,81.6924,80.89,80,99,6.58,LK,2023-11-25
301,atafu village,-8.5421,-172.5159,83.23,76,85,9.42,TK,2023-11-25
302,lebu,-37.6167,-73.65,58.5,76,52,17.38,CL,2023-11-25
303,aasiaat,68.7098,-52.8699,28.35,93,100,8.79,GL,2023-11-25
304,labrador city,52.9463,-66.9114,12.11,67,75,17.27,CA,2023-11-25
305,chipata,-13.6333,32.65,75.15,54,86,5.77,ZM,2023-11-25
306,kapuskasing,49.4169,-82.4331,35.69,41,20,19.57,CA,2023-11-25
307,tolanaro,-25.0319,46.9987,77.07,73,20,24.16,MG,2023-11-25
308,lianhe,47.1333,129.2667,2.48,91,100,2.04,CN,2023-11-25
309,havza,40.9706,35.6622,50.61,87,75,14.97,TR,2023-11-25
310,kimberley,-28.7323,24.7623,85.69,32,0,9.22,ZA,2023-11-25
311,petropavlovsk-kamchatsky,53.0452,158.6483,20.44,69,20,25.99,RU,2023-11-25
312,golpayegan,33.4537,50.2884,50.54,37,94,2.35,IR,2023-11-25
313,gornozavodsk,58.3758,58.3211,13.46,97,100,3.02,RU,2023-11-25
314,ndibene dahra,15.3338,-15.4766,94.98,11,0,4.74,SN,2023-11-25
315,la passe,45.5549,-0.8967,41.23,69,80,6.04,FR,2023-11-25
316,abra pampa,-22.7205,-65.697,67.17,30,55,4.18,AR,2023-11-25
317,mata-utu,-13.2816,-176.1745,82.69,76,100,10.04,WF,2023-11-25
318,arraial do cabo,-22.9661,-42.0278,76.96,64,75,16.11,BR,2023-11-25
319,menomonie,44.8755,-91.9193,30.27,35,100,7.74,US,2023-11-25
320,canto do buriti,-8.11,-42.9444,102.38,20,2,6.33,BR,2023-11-25
321,fang,19.9169,99.2145,65.32,94,68,0.54,TH,2023-11-25
322,ad dabbah,18.05,30.95,86.63,14,38,8.32,SD,2023-11-25
323,ishigaki,24.3448,124.1572,71.73,68,100,10.36,JP,2023-11-25
324,whangarei,-35.7317,174.3239,56.44,88,20,6.89,NZ,2023-11-25
325,sungai penuh,-2.0833,101.3833,65.43,82,100,1.81,ID,2023-11-25
326,qala i naw,34.9874,63.1289,56.64,43,68,1.81,AF,2023-11-25
327,viedma,-40.8135,-62.9967,97.2,14,9,17.34,AR,2023-11-25
328,turpan,42.9333,89.1667,35.96,32,59,0.63,CN,2023-11-25
329,keflavik,64.0049,-22.5624,45.03,93,75,8.05,IS,2023-11-25
330,ust'-ilimsk,58.0006,102.6619,-6.9,100,82,2.44,RU,2023-11-25
331,natal,-5.795,-35.2094,86.65,58,20,16.11,BR,2023-11-25
332,gwangju,35.1547,126.9156,31.64,48,7,2.44,KR,2023-11-25
333,liberal,37.0431,-100.921,26.74,86,100,8.05,US,2023-11-25
334,east ballina,-28.8667,153.5833,63.81,87,93,5.77,AU,2023-11-25
335,hammerfest,70.6634,23.6821,34.25,93,100,13.8,NO,2023-11-25
336,papao,-17.75,-149.55,82.08,76,69,24.61,PF,2023-11-25
337,island harbour,50.724,-1.2758,36.93,85,42,6.78,GB,2023-11-25
338,sheridan,44.8333,-106.9173,32.31,69,0,3.44,US,2023-11-25
339,reedsburg,43.5325,-90.0026,32.76,49,75,5.75,US,2023-11-25
340,greenville,35.6127,-77.3663,51.82,54,0,13.8,US,2023-11-25
341,taseyevo,57.2169,94.8978,2.34,90,49,4.0,RU,2023-11-25
342,boa vista,2.8197,-60.6733,91.38,46,75,6.91,BR,2023-11-25
343,sinan,34.8262,126.1086,30.31,53,7,10.87,KR,2023-11-25
344,le port,-20.9373,55.2919,75.2,76,17,7.61,RE,2023-11-25
